formula,GGA_Eg,pred_Eg,pred_Eg_std,predicted_non_metal,is_false_metal_rescued,formation_energy_per_atom,tolerance_factor,pb_fraction
Ba2CePbO6,2.3311,2.8709199999999924,1.1639566373366323,1,0,-2.88340405,0.874935275,0.1
Ba2CePtO6,1.5239,2.697259999999996,1.1081705159405757,1,0,-2.810128853,0.887919474,0.0
Ba2CeTaO6,0.0,2.0420400000000023,1.104450378423584,1,1,-3.494566658,0.873952201,0.0
Ba2CeZrO6,2.5741,3.7222799999999916,1.18606374263781,1,0,-3.589921892,0.885896878,0.0
Ba2CoMoO6,0.0,1.041979999999998,0.8050874981019162,1,1,-2.531475051,0.96264537,0.0
Ba2CoReO6,0.2563,0.81641,1.072434455759416,1,0,-2.483499538,0.948557877,0.0
Ba2CoWO6,0.0,0.6912199999999997,0.9169286295017736,1,1,-2.602443747,0.960268468,0.0
Ba2CrMoO6,0.0,1.9841000000000033,1.0621553040869305,1,1,-2.703686737,0.943953227,0.0
Ba2CuOsO6,0.0,1.733100000000001,1.1934830497330071,1,1,-2.121046388,0.949716068,0.0
Ba2CuTeO6,0.0117,2.2258300000000033,0.9870974425556983,1,1,-2.186745819,0.95087709,0.0
Ba2CuWO6,0.0,1.7850000000000017,1.2124614633051234,1,1,-2.445219592,0.941667626,0.0
Ba2DyBiO6,1.735,2.736519999999991,1.1794185811661624,1,0,-2.835875612,0.869652794,0.0
Ba2DyMoO6,0.0,2.0070500000000036,1.0979464228731728,1,1,-3.079777171,0.899835099,0.0
Ba2DyNbO6,2.8597,3.437220000000001,0.6970245846453333,1,0,-3.468921261,0.893632191,0.0
Ba2DyReO6,0.0,1.7849000000000015,1.137051313705762,1,1,-3.044711502,0.90612472,0.0
Ba2DySbO6,3.4686,3.5491999999999972,1.0100517610498978,1,0,-3.102595951,0.901921915,0.0
Ba2DyTaO6,3.3837,3.6144199999999977,0.7636218066556246,1,0,-3.590844602,0.893632191,0.0
Ba2DyUO6,0.8819,2.792139999999994,1.2312541250286222,1,0,-3.66654141,0.869652794,0.0
Ba2ErMoO6,0.0,2.0137600000000035,1.1286492645636204,1,1,-3.098545509,0.904438906,0.0
Ba2ErNbO6,2.8542,3.501400000000001,0.7152180366853181,1,0,-3.489138453,0.898172586,0.0
Ba2ErReO6,0.0,1.7947400000000022,1.1565170696535347,1,1,-3.069479261,0.910793278,0.0
Ba2ErRuO6,0.0875,2.6005299999999982,1.1663269134766636,1,1,-2.874778756,0.914004065,0.0
Ba2ErSbO6,3.3844,3.5903499999999973,1.0159576406031887,1,0,-3.11792655,0.906547155,0.0
Ba2ErTaO6,3.3934,3.698079999999998,0.7881227782522205,1,0,-3.610691841,0.898172586,0.0
Ba2ErUO6,0.8926,2.813619999999993,1.2293842749929749,1,0,-3.686481959,0.873952201,0.0
Ba2EuMoO6,0.055,2.582669999999999,1.1075900961547105,1,1,-2.910340473,0.852870021,0.0
Ba2EuNbO6,0.0,2.190840000000003,0.9961160044894363,1,1,-3.2279153,0.886502689,0.0
Ba2EuReO6,0.0,1.791700000000001,1.0827716795335935,1,1,-2.898539962,0.898795308,0.0
Ba2EuRuO6,0.0,2.0072900000000033,0.9978244865205479,1,1,-2.63262853,0.901921915,0.0
Ba2EuSbO6,0.0,2.0741900000000024,0.8282253279754236,1,1,-2.859175119,0.894660064,0.0
Ba2EuTaO6,0.0,2.025120000000001,1.0752512662629157,1,1,-3.345892676,0.886502689,0.0
Ba2FeMoO6,0.9037,0.9234399999999956,0.6548159790353338,1,0,-2.590962666,0.972271824,0.0
Ba2FeReO6,0.0,0.34637999999999985,0.5965723724746236,1,1,-2.543224716,0.989589643,0.0
Ba2FeWO6,0.0,0.44578999999999963,0.6399770510729258,1,1,-2.688421838,0.969847206,0.0
Ba2GdMoO6,0.9385,2.77262,1.1364133207596616,1,0,-3.081371524,0.8944543,0.0
Ba2GdNbO6,2.7024,3.397280000000002,0.8213190619972245,1,0,-3.433128223,0.888325102,0.0
Ba2GdReO6,0.0,1.778440000000001,1.1533620274657923,1,1,-3.011181392,0.900668665,0.0
Ba2GdSbO6,3.4808,3.4971399999999977,1.0721753683050175,1,0,-3.065729694,0.896516205,0.0
Ba2GdTaO6,3.3076,3.5187599999999977,0.8683879676734344,1,0,-3.553963242,0.888325102,0.0
Ba2GdUO6,0.857,2.7415799999999955,1.23764130651817,1,0,-3.62779132,0.8646259,0.0
Ba2HfUO6,0.1901,2.625349999999996,1.2623711924390568,1,0,-3.569757657,0.883883476,0.0
Ba2HoMoO6,0.0,2.0056600000000033,1.1134770156586076,1,1,-3.089599856,0.902131129,0.0
Ba2HoNbO6,2.8596,3.4613400000000003,0.6964469860657035,1,0,-3.47944162,0.895896636,0.0
Ba2HoReO6,0.0,1.7853600000000016,1.139364195681082,1,1,-3.053693667,0.908453001,0.0
Ba2HoRuO6,0.0919,2.582909999999998,1.149033890666417,1,1,-2.866665411,0.91164728,0.0
Ba2HoSbO6,3.4228,3.591509999999997,1.0091254480489542,1,0,-3.110587585,0.90422862,0.0
Ba2HoTaO6,3.4478,3.657879999999999,0.7810133837521601,1,0,-3.601958371,0.895896636,0.0
Ba2HoUO6,0.8868,2.7989799999999936,1.2402892241731363,1,0,-3.676950728,0.871797197,0.0
Ba2InBiO6,0.0,1.9108899999999993,1.1559493318913237,1,1,-2.293122822,0.891992499,0.0
Ba2InIrO6,0.0,1.97755,1.3293192797443336,1,1,-2.184171889,0.932634843,0.0
Ba2InOsO6,0.4451,2.794089999999996,1.443990035249553,1,0,-2.329633819,0.931517915,0.0
Ba2InReO6,0.0,2.026070000000001,1.3943061375106962,1,1,-2.500325388,0.930403659,0.0
Ba2InRuO6,0.3662,3.0402899999999993,1.1896725036328264,1,0,-2.292979915,0.933754453,0.0
Ba2InSbO6,0.524,3.117439999999993,0.9600613763713224,1,0,-2.545652497,0.925973166,0.0
Ba2LaBiO6,1.9996,2.9182799999999944,1.2238632855021017,1,0,-2.797711418,0.846926676,0.0
Ba2LaIrO6,0.0,1.6987600000000014,1.1852801619870288,1,1,-2.721032228,0.883481894,0.0
Ba2LaNbO6,3.0489,3.6050600000000013,0.802101113576087,1,0,-3.397159311,0.869652794,0.0
Ba2LaReO6,0.0,1.7591300000000016,1.188659620370778,1,1,-2.961692178,0.881479442,0.0
Ba2LaRuO6,0.2614,2.689029999999999,1.114775945694918,1,0,-2.78958036,0.884486535,0.0
Ba2LaSbO6,3.8966,3.7965999999999998,0.981784619965092,1,0,-3.041084253,0.877501646,0.0
Ba2LaTaO6,3.6024,3.8091400000000046,0.7693705611732236,1,0,-3.516754748,0.869652794,0.0
Ba2LaUO6,0.8614,2.752459999999996,1.2456760607798485,1,0,-3.576786426,0.846926676,0.0
Ba2LiIO6,2.0784,3.301919999999997,0.8484668017076447,1,0,-2.244361834,0.9416508,0.0
Ba2LiOsO6,0.0,1.9040000000000032,1.2258220914961535,1,1,-2.451193766,0.952040954,0.0
Ba2LiReO6,1.8665,3.4026499999999973,0.99730117191348,1,0,-2.751157585,0.95087709,0.0
Ba2LiTeO6,0.0,2.3512100000000022,0.9193560713347143,1,1,-2.391636112,0.93704615,0.0
